Seq2Seq20slg,translation
"DESC-THUS , THIS WILL DESC-NATURALLY DESC-ALWAYS BE DESC-VERY DESC-DIFFICULT IN DESC-DENSELY POPULATE REGION .","thus, this will naturally always be very difficult in a deeply populated region."
"DESC-HOWEVER , X-WE NEED TO ENSURE THAT PASSENGER TRANSPORT DESC-ALSO REMAIN DESC-ATTRACTIVE OPTION IN DESC-DENSELY POPULATE REGION .","however, we need to ensure that passenger transport also remains an attractive option in densely populated regions."
CREATION DESC-SUCH CORRIDOR MUST ENSURE DESC-BETTER INTERCONNECTION WITH RAIL INFRASTRUCTURE IN NEIGHBOURING COUNTRY .,the creation of such corridors must ensure better interconnections with rail infrastructure in neighbouring countries.
"MADAM PRESIDENT , DESC-FIRSTLY , EUROPEAN UNION DO DESC-AWFUL LOT DESC-GOOD WORK .","madam president, firstly, the european union did an awful lot of good work."
DESC-ONLY DESC-LAST WEEK X-WE SEE SUCCESS AT EUROPEAN COURT JUSTICE ON ROAM RATE .,only last week we saw success at the european court of justice on the roaming rate.
"X-I THINK COMMISSIONER REDING HAVE DESC-VERY DESC-IMPORTANT PART TO PLAY IN THAT , AND X-I COMPLIMENT X-SHE .","i think commissioner reding has a very important part to play in that, and I compliment her."
X-I THINK POINT MAKE BY MR MARINESCU BE DESC-IMPORTANT .,i think the point made by mr marinescu is important.
"WHILE AMOUNT FREIGHT TRANSPORT BY RAIL HAVE DECLINE OVER YEAR , CLIMATE HAVE DESC-NOW CHANGE .","while the amount of freight transported by rail has decreased over the years, the climate has now changed."
"IF X-I MAY USE PUN , X-YOU BE ON DESC-RIGHT TRACK RAILWAY TRACK !","if I may use the punch, you are on the right track railway track!"
KEEP X-IT GO AND HAVE AS DESC-MUCH SUCCESS AS X-YOU HAVE WITH ROAM CHARGE .,keep it going and have as much success as you have with roaming charges.
DESC-SEVERAL SPEAKER HAVE DESC-ALREADY MENTION THAT IN GERMANY X-WE HAVE LAY X-WE CORRIDOR DESC-STRAIGHT THROUGH DESC-LARGE CONURBATION .,several speakers have already mentioned that in germany we have laid our corridor straight through large congestion.
X-IT BE DESC-VITAL LINK THAT WILL LINK DESC-NORTH AFRICA WITH EUROPE .,it is a vital link that will link north africa with europe.
REASON BE MENTION BY COMMISSIONER REDE DESC-GREATER DESC-ECONOMIC ACTIVITY AND DESC-GREATER CONCENTRATION LAND TRANSPORT .,the reasons being mentioned by the commissioner reduce greater economic activity and greater concentration of land transport.
THIS BE ONE TWO CONDITION .,this is one of two conditions.
X-IT WOULD DESC-OPEN DESC-UP POSSIBILITY LINK WITH DESC-VARIOUS SEA PORT IN MEDITERRANEAN .,it would open up possibilities linked with the various sea ports in the mediterranean.
WHAT SURPRISE X-I ABOUT THIS DRAFT BE FACT THAT X-IT MAKE NO MENTION BRENNER BASE TUNNEL .,what surprises me about this draft is the fact that it makes no mention of the brenner based tunnel.
BRENNER BASE TUNNEL MUST DESC-NOT BECOME DESC-BLACK HOLE FOR BILLION EURO .,the brenner based tunnel must not become a black hole for billions of euros.
X-I EXPECT DESC-CLEAR INFORMATION ABOUT THIS CONSTRUCTION PROJECT .,i expect clear information about this construction project.
X-I THINK THIS TEXT HAVE POTENTIAL TO CULMINATE IN DESC-AMBITIOUS EUROPEAN PROJECT .,i think this text has potential to culminate in an ambitious european project.
X-I DO DESC-NOT THINK THIS REGULATION WILL HAVE ANY DESC-NEGATIVE IMPACT ON PASSENGER RAIL TRANSPORT .,i do not think this regulation will have any negative impact on passenger rail transport.
AND X-WE DESC-ALSO KNOW THAT X-Y IMPLEMENTATION HAVE TO BE COORDINATE AND DESC-COHERENT AT EUROPEAN LEVEL .,and we also know that their implementation has to be coordinated and coherent at european level.
X-WE SEE DESC-ACTIVE PARTICIPATION ALL RAIL ACTOR .,we see active participation of all rail actors.
"IN LIGHT THIS DEBATE , LET X-I INSIST DESC-ONCE DESC-AGAIN ON TWO ISSUE .","in the light of this debate, let me insist once again on two issues."
COMMISSION THINK X-IT WILL BE DESC-VERY DESC-GOOD FOR EUROPE IF THIS PROPOSAL COULD BE VOTE DESC-STRONGLY TOMORROW .,the commission thinks it will be very good for europe if this proposal could be voted strongly tomorrow.
COMPROMISE BE SUPPORT BY AT DESC-LEAST FOUR DESC-POLITICAL GROUP .,the compromise was supported by at least four political groups.
X-IT BE DESC-ALSO SUPPORT BY COMMISSION AND STATEMENT TO THIS EFFECT WILL DESC-ALSO BE MAKE TOMORROW .,it was also supported by the commission and a statement to this effect will also be made tomorrow.
COMPROMISE BE SUPPORT BY EUROPEAN ASSOCIATION HAULIER AND INFRASTRUCTURE MANAGER .,the compromise is supported by the european association of hauliers and infrastructure managers.
DESC-RE BE ONE POINT WHICH X-I WOULD LIKE TO MENTION TO X-YOU .,there is one point which I would like to mention to you.
"DESC-REFORE , X-I BE DESC-SORRY , BUT VIEW MAINTAIN BY ANYONE DESC-ELSE BE DESC-WRONG .","therefore, I am sorry, but the views maintained by anyone else are wrong."
DESC-CURRENT COMPROMISE HAVE BE ACHIEVE AS RESULT DESC-DIFFICULT NEGOTIATION .,the current compromise has been achieved as a result of difficult negotiations.
CONCILIATION CAN DESC-NOT GIVE X-WE ANY MORE THAN X-WE HAVE DESC-NOW .,concession cannot give us any more than we have now.
"ON DESC-OR HAND , X-IT MAY WEAKEN REGULATION X-POSS CONTENT , MAKE X-IT DESC-USELESS .","on the other hand, it may weaken the regulation's content, making it useless."
DEBATE BE DESC-CLOSE .,the debate is closed.
VOTE WILL TAKE PLACE ON TUESDAY 15 JUNE DESC-20WRITTEN STATEMENT RULE 149,the vote will take place on tuesday 15 june 20written statements rule 149
ELECTION VICE PRESIDENT EUROPEAN PARLIAMENT,election of vice presidents of the european parliament
"VOTE WILL TAKE PLACE TOMORROW , TUESDAY 15 JUNE 2010 , AT 12.00 .","the vote will take place tomorrow, tuesday 15 june 2010, at 12.00."
RIGHTS TO INTERPRETATION AND TRANSLATION IN DESC-CRIMINAL PROCEEDINGS DEBATE,rights to interpretation and translation in criminal proceedings debate
THIS BE DESC-FIRST TO SEE LIGHT DAY .,this is the first to see the light of day.
"DESC-BROADLY SPEAKING , X-YOU HAVE TO BE PUT IN DESC-SAME POSITION AS DESC-LOCAL .","broadly speaking, you have to be put in the same position as local."
IN DESC-ORIGINAL TRIAL BOTH CHARGE AND SENTENCE BE DELIVER DESC-ORALLY .,in the original trial both charges and sentences were delivered otherwise.
MR MANN DO DESC-NOT KNOW WHAT X-HE BE CHARGE WITH UNTIL AFTER X-HE BE CONVICT .,mr mann does not know what he is charged with until after he is convicted.
"INTERPRETER BE DESC-LOCAL HAIRDRESSER , FRIEND JUDGE X-POSS WIFE .","theINTERpreter was a local hairdresser, a friend of the judge's wife."
X-I BELIEVE PARLIAMENT MAKE DESC-GOOD USE X-ITS DESC-NEWLY ACQUIRE LISBON TREATY POWER DESC-JOINT RESPONSIBILITY FOR LEGISLATION .,i believe parliament made good use of its newly acquired lisbon treaty powers of joint responsibility for legislation.
THOSE BE DESC-JUST SOME KEY POINT .,those are just some of the key points.
STRENGN SAFEGUARD AND DEFENSE RIGHTS BE DESC-NOT AT ALL ABOUT BE DESC-SOFT ON CRIME .,strengthening safeguards and defence rights are not at all about being soft on crime.
X-IT BE ABOUT BE DESC-TOUGH ON CRIME .,it is about being tough on crime.
DESC-CHEAP JUSTICE BE NO JUSTICE .,cheap justice is no justice.
X-I DESC-REFORE COMMEND THIS DIRECTIVE TO X-YOU .,i therefore commend this directive to you.
"MADAM PRESIDENT , THAT BE DESC-RIGHT .","madam president, that is right."
X-Y BE DESC-INDISPENSABLE TO PROMOTE DESC-REAL DESC-MUTUAL TRUST BETWEEN DESC-JUDICIAL AUTHORITY DESC-DIFFERENT MEMBER STATE .,they are indispensable to promote real mutual trust between the judicial authorities of different member states.
"WITHOUT THIS TRUST , DESC-MUTUAL RECOGNITION WILL DESC-NEVER WORK DESC-PROPERLY .","without this trust, mutual recognition will never work properly."
THAT BE WHY X-I DESC-WARMLY DESC-WELCOME AGREEMENT REACH BY TWO CO LEGISLATOR .,that is why I warmly welcome the agreement reached by the two co legislators.
"AS COMMISSIONER , X-I BE DESC-PLEASED THAT DESC-MANY COMPROMISE SOLUTION TAKE INSPIRATION FROM X-WE MARCH 2010 PROPOSAL .","as commissioner, I am pleased that many of the compromise solutions take inspiration from our march 2010 proposal."
"DIRECTIVE , AS X-IT BE DESC-NOW ON TABLE , WILL INCREASE MINIMUM STANDARD .","the directive, as it is now on the table, will increase minimum standards."
X-I BE DESC-ALSO DESC-VERY DESC-GLAD THAT X-IT BE DESC-POSSIBLE TO HAVE DESC-VERY SWIFT ADOPTION THIS DIRECTIVE .,i am also very glad that it is possible to have a very swift adoption of this directive.
"HAVE SAY THAT , IN SPIRIT COMPROMISE , X-I WILL ACCEPT SOLUTION .","having said that, in the spirit of the compromise, I will accept the solution."
WHAT X-I SAY DESC-NOW BE DESC-VERY DESC-IMPORTANT FOR FUTURE .,what I said now is very important for the future.
THIS BE IN ACCORDANCE WITH LISBON TREATY AND WITH STOCKHOLM PROGRAM .,this is in accordance with the lisbon treaty and with the stockholm programme.
"AS X-YOU KNOW , COMMISSION BE DESC-ALREADY WORK ON DESC-SUBSEQUENT ROAD MAP MEASURE .","as you know, the commission is already working on subsequent road map measures."
X-I WILL DESC-VERY DESC-SHORTLY BE PUT DESC-FORWARD PROPOSAL ON DESC-RIGHT TO INFORMATION LETTER RIGHTS .,i will very shortly be putting forward a proposal on the right to information letter rights.
EXISTENCE DESC-COMMON STANDARD BE DESC-ESSENTIAL CONDITION FOR INSTIL DESC-MUTUAL TRUST IN MEMBER STATESLEGAL SYSTEM .,the existence of common standards is an essential condition for instilling mutual trust in member stateslegal systems.
EFFORT HAVE BE MAKE TO CONSOLIDATE DESC-PROCEDURAL RIGHTS IN EUROPEAN UNION FOR DESC-LONG TIME .,efforts have been made to consolidate procedural rights in the european union for a long time.
"AGREEMENT COULD DESC-NOT BE REACH AND NEGOTIATION BE ABANDON IN JUNE DESC-200FINALLY , X-WE HAVE INITIATIVE FROM 13 MEMBER STATE .","an agreement could not be reached and negotiations were abandoned in june 200finally, we have initiatives from 13 member states."
X-I WISH TO SAY HOW DESC-PLEASED X-I BE WITH OUTCOME ACHIEVE FOLLOW NEGOTIATION BETWEEN INSTITUTION .,i wish to say how pleased I am with the outcome achieved following the negotiations between the institutions.
TEXT X-WE BE DESC-DUE ON WEDNESDAY TO VOTE ON MAKE DESC-SIGNIFICANT IMPROVEMENT TO MEMBER STATESPROPOSAL .,the text we are due on wednesday to vote on makes significant improvements to the member statesproposal.
"WAY BE DESC-OPEN , AND X-IT BE DESC-TEMPORARILY BLOCK BY ELECTION DESC-NEW COMMISSION .","the way is open, and it is temporarily blocked by the election of the new commission."
PARLIAMENT MAKE AMENDMENT TO COMMISSION X-POSS WORK .,parliament made amendments to the commission's work.
THIS MEAN THAT WORK COULD BE SPEED DESC-UP .,this means that work could be speeded up.
"IN THAT CASE , WHAT BE SIGNIFICANCE EUROPE THAT X-WE WANT TO BUILD ?","in that case, what is the significance of the europe that we want to build?"
HAVE THAT OCCUR TO X-YOU ?,has that occurred to you?
"IN THIS REGARD , X-I COULD MENTION EUROPEAN ARREST WARRANT , FOR EXAMPLE .","in this regard, I could mention the european arrest warrant, for example."
PEZ BE DESC-JUST ASK BE DESC-OBVIOUSLY DESC-VERY DESC-FUNDAMENTALLY DESC-IMPORTANT .,the questions being just asked are obviously very fundamentally important.
X-I WISH TO THANK RAPPORTEUR FOR X-SHE DESC-EXCELLENT TEAMWORK WITH ALL X-WE SHADOW RAPPORTEUR .,i wish to thank the rapporteur for her excellent teamwork with all our shadow rapporteurs.
"X-IT BE , COURSE , DESC-REGRETTABLE THAT X-IT WILL BE 36 MONTH BEFORE DIRECTIVE ENTER INTO FORCE .","it is, of course, regrettable that it will be 36 months before the directive enters into force."
THIS RELATE TO LANGUAGE WHICH BE COVER BY DIRECTIVE .,this relates to the language which is covered by the directive.
CAN COMMISSIONER PROMISE THAT THIS BE DESC-NOT CASE AND THAT THIS DIRECTIVE DESC-ALSO RELATE TO MINORITY LANGUAGE ?,can the commissioner promise that this is not the case and that this directive also relates to minority languages?
X-WE AMENDMENT REFER TO DESC-VARIOUS DESC-INTERNATIONAL AND EUROPEAN INSTRUMENT REGARD USE MINORITY AND DESC-REGIONAL LANGUAGE .,our amendments refer to various international and european instruments regarding the use of minorities and regional languages.
DESC-REFORE THIS TRANSLATION DIRECTIVE BE FIG LEAF .,therefore this translation directive is fig leaf.
"X-I WOULD NOTE THAT , DESC-EVEN IN X-ITS DESC-OWN TERM , THIS DIRECTIVE BE FLAW .","i would note that, even in its own terms, this directive is flawed."
DECISION AS TO WHAT BE DESC-RELEVANT FOR TRANSLATION LIE DESC-LARGELY WITH PROSECUTOR .,the decision as to what is relevant for translation lies largely with the producers.
"X-WE DESC-DISTINGUISHED COLLEAGUE , BARONESS LUDFORD , HAVE CHARACTERISE X-HERSELF DESC-MANY TIME AS CAMPAIGNER FOR DESC-HUMAN RIGHTS .","our distinguished colleague, baroness ludford, has characterised herself many times as a campaigner for human rights."
THAT BE WHAT MATTER .,that is what matters.
"IN FACT , DESC-NOT ONE , BUT TWO PROPOSAL BE TABLE .","in fact, not one, but two proposals are tabled."
"DESC-ORWISE , X-WE WOULD END DESC-UP IN SITUATION CHARACTERISE BY AMBIGUITY AND BICKERING , WHICH BE DESC-BEST AVOID .","otherwise, we would end up in a situation characterised by ambiguity and biting, which is best avoided."
"X-I BE DESC-NOW SPEAK ON BEHALF EUROPEAN DESC-FREE ALLIANCE MEP , REPRESENT REGION AND MINORITY .","i am now speaking on behalf of the european free alliance meps, representing regions and minorities."
X-I STRESS THAT DIRECTIVE DESC-ALSO APPLY TO NON OFFICIAL LANGUAGE EUROPEAN UNION .,i stress that the directive also applies to the non official language of the european union.
X-IT BE DESC-FIRST FIVE MEASURE ON COUNCIL X-POSS ROADMAP TO BE REALIZE .,it is the first five measures on the council's roadmap to be realised.
DESC-RIGHT TO WRITE TRANSLATION DESC-IMPORTANT DESC-PROCEDURAL DOCUMENT DO DESC-NOT DESC-CURRENTLY EXIST IN ALL MEMBER STATE .,the right to write a translation of important procedural documents does not currently exist in all member states.
"DESC-EVEN WHEN X-IT DO EXIST , THIS DESC-RIGHT CAN VARY DESC-CONSIDERABLY .","even when it does exist, this right can vary considerably."
"DESC-RIGHT TO INTERPRETATION BETWEEN SUSPECT AND X-Y LAWYER , FOR EXAMPLE , BE DESC-NOT DESC-ALWAYS GUARANTEE .","the right to interpretation between suspects and their lawyers, for example, is not always guaranteed."
X-I SUPPORT AGREEMENT REACH IN TRILOGUE .,i support the agreement reached in trilogues.
"THAT BE DESC-IMPORTANT FOR JURISPRUDENCE , DESC-TOO .","that is important for jurisprudence, too."
X-I DESC-REFORE THANK X-YOU THAT X-IT HAVE GO DESC-SO DESC-WELL .,i therefore thank you that it has gone so well.
THANK X-YOU DESC-VERY DESC-MUCH .,thank you very much.
"DE MADAM PRESIDENT , THIS REPORT REPRESENT PROGRESS FOR EUROPE .","de madam president, this report represents progress for europe."
X-IT BE DESC-GOOD STEP TOWARDS CREATE EUROPE LAWFULNESS .,it is a good step towards creating europe of lawlessness.
X-WE NEED TO CREATE TRUST .,we need to create trust.
"DESC-HOWEVER , X-I BE , COURSE , DESC-AWARE THAT THIS BE DESC-ESPECIALLY DESC-IMPORTANT AND DESC-BROAD FIELD .","however, I am, of course, aware that this is especially an important and broad field."
X-I HOPE THAT THIS ASPECT WILL DESC-ALSO BE SATISFY DESC-SOON DURING IMPLEMENTATION STOCKHOLM PROGRAM .,i hope that this aspect will also be satisfied soon during the implementation of the stockholm programme.
X-MY CONSTITUENT ANDREW SYMEOU HAVE BE HOLD FOR 11 MONTH AWAIT TRIAL IN GREEK PRISON KORYDALLO .,my constituents andrew symeou have been held for 11 months awaiting trial in the greek prison of korydallos.
"SIX MORE BRITISH CITIZEN , INCLUDE DANIEL BELL AND GEORGE HOLLAND , FACE EXTRADITION AND REMAND IN KORYDALLO .","six more british citizens, including daniel bell and george hoLLand, face extradition and remand in korydallos."
BRITISH COURT BE DESC-NOT DESC-EVEN ALLOW TO CONSIDER DESC-SO CALL EVIDENCE AGAINST X-Y .,the british court is not even allowed to consider so called evidence against them.
"IN FACT , PROCEDURE BE DESC-EXTREMELY DESC-DIFFICULT .","in fact, the procedure is extremely difficult."
"DESC-HOWEVER , CONCLUSION BE DESC-FRUITFUL .","however, the conclusions are fruitful."
X-WE HAVE DESC-GREAT EXPECTATION .,we have great expectations.
X-WE HOPE THAT DESC-GREAT DEAL WILL CHANGE .,we hope that the great deal will change.
EVERYTHING BE IN PIPELINE AND WILL COME DESC-QUICKLY .,everything is in the pipeline and will come quickly.
ONE DESC-VERY DESC-IMPORTANT QUESTION WHICH HAVE BE UNDERLINE BY DESC-SEVERAL MEMBER BE QUESTION LANGUAGE .,one very important question which has been underlined by several members is the question of language.
DESC-SO IN FACT X-IT DO DESC-NOT CONCERN DESC-ONLY EUROPEAN UNION LANGUAGE OR MINORITY LANGUAGE .,so in fact it does not concern only european union languages or minority languages.
X-IT CONCERN LANGUAGE PERSON WHO BE IN FRONT TRIBUNAL .,it concerns the language of the person who is in front of the tribunal.
WHY DO X-IT HAPPEN ?,why does it happen?
X-WE BE DESC-NOW IN DESC-VERY DESC-PECULIAR PERIOD .,we are now in a very precarious period.
X-WE BE COME OUT DESC-THIRD PILLAR AND FIND X-OURSELVES IN DESC-NORMAL CODECISION SITUATION .,we are coming out of a third pillar and finding ourselves in a normal codecision situation.
"X-I BE DESC-PLEASED X-WE BE DEBATE AND VOTE THIS DIRECTIVE THIS WEEK , DESC-STILL UNDER SPANISH PRESIDENCY .","i am pleased we are debating and voting this directive this week, still under the spanish presidency."
X-I DESC-STRONGLY AGREE WITH VICE PRESIDENT REDE ABOUT THREE YEAR IMPLEMENTATION PERIOD .,i strongly agree with vice president reducing about three years of implementation periods.
X-IT BE DESC-VERY DESC-CHEEKY MEMBER STATE TO SLIP THIS IN DESC-UNILATERALLY AFTER X-WE HAVE REACH COUNCIL PARLIAMENT DEAL .,it is very tempting member states to slip this in unilaterally after we have reached the council of parliament deal.
X-Y WILL DESC-NOT GET DESC-AWAY WITH X-IT DESC-AGAIN .,they will not get away with it again.
X-I SAY TO UKIP THAT DESC-RE BE NO CALL TO GET DESC-NATIONALISTIC ABOUT QUALITY JUSTICE .,i say to ukip that there is no call to get nationalistic about the quality of justice.
X-I HOPE DESC-NEW GOVERNMENT RETURN DESC-FULLY TO RULE LAW .,i hope the new government returns fully to the rule of law.
"TEST IN DIRECTIVE BE ONE COMPREHENSION AND ABILITY TO DESC-EXPRESS ONESELF , AS VICE PRESIDENT REDING SAY .","the test in the directive is one of compassion and the ability to express oneself, as vice president reding said."
X-I ASK THAT DIRECTIVE BE PASS DESC-UNAMENDED AND DESC-QUICKLY DESC-SO THAT X-IT GET ON STATUTE BOOK .,i ask that the directive be passed unamended and quickly so that it gets on statute books.
SPEAKER AGREE TO TAKE DESC-BLUE CARD QUESTION UNDER RULE 149 8,the speaker agreed to take a blue card question under rule 149 8
X-SHE HAVE MENTION THAT KIND THING DESC-AGAIN .,she has mentioned that kind of thing again.
"IN PAST , X-HE MIGHT HAVE LANGUISH FOR YEAR WITHOUT BE BRING DESC-BACK TO COURT .","in the past, he might have languished for years without being brought back to court."
X-HE BE BRING DESC-BACK WITHIN SIX WEEK .,he is bringing back within six weeks.
X-HE BE CONVICT AND X-HE BE DESC-NOW SERVE SENTENCE UNDER TERRORISM CONVICTION .,he was convicted and he is now serving a sentence under terrorism conviction.
"X-YOU , X-I SUPPOSE , WOULD HAVE BE DESC-HAPPY THAT X-HE WOULD DESC-NEVER HAVE BE BRING DESC-BACK TO TRIAL .","you, I suppose, would have been happy that he would never have been brought back to trial."
DEBATE BE DESC-CLOSE .,the debate is closed.
VOTE WILL TAKE PLACE ON WEDNESDAY 16 JUNE DESC-20WRITTEN STATEMENT RULE 149,the vote will take place on wednesday 16 june 20written statements rule 149
TEXT X-WE BE DISCUSS TODAY BE DESC-SATISFACTORY AND DESC-FULLY DESC-ACCEPTABLE COMPROMISE .,the text we are discussing today is satisfactory and a fully acceptable compromise.
"WHEN SUSPECT BE DESC-FOREIGN DESC-NATIONAL , LANGUAGE BARRIER DESC-PRESENT DESC-SIGNIFICANT PROBLEM FOR CONDUCT DESC-CRIMINAL PROCEEDINGS DESC-EFFICIENTLY .","when suspects are foreign nationals, language barriers present significant problems for conducting criminal proceedings efficiently."
ADOPTION BY ESTONIUM EURO ON 1 JANUARY 2011 DEBATE,adoption by estonia of the euro on 1 january 2011 debate
REASON WHY ESTONIUM SHOULD JOIN EUROZONE BE DESC-STRAIGHTFORWARD .,the reason why estonia should join the eurozone is straightforward.
ESTONIUM HAVE MEET MAASTRICHT CRITERION LAY DESC-DOWN IN TREATY .,estonia has met the maastricht criteria laid down in the treaty.
X-I DO DESC-NOT THINK X-IT BE DESC-APPROPRIATE .,i do not think it is appropriate.
"AS HAVE BE STATE IN PAST , X-IT DEMONSTRATE LACK RESPECT FOR PARLIAMENT .","as has been stated in the past, it demonstrates a lack of respect for parliament."
"PUT DESC-PLAINLY , DURING DESC-WORST DESC-ECONOMIC AND DESC-SOCIAL CRISIS , ESTONIUM HAVE KEEP X-ITS HOUSE IN ORDER .","put plainly, during the worst economic and social crisis, estonia has kept its house in order."
X-IT DESC-ALSO CARRY DESC-SIGNIFICANT DESC-POLITICAL SYMBOLISM .,it also carries significant political SYmbols.
"DESC-FINALLY , THIS BE DESC-NOT TO SAY THAT DESC-EASY DESC-ECONOMIC PATH DESC-AHEAD LIE DESC-AHEAD FOR ESTONIUM .","finally, this is not to say that the easy economic path ahead lies ahead for estonia."
"DESC-REFORE GOVERNMENT NEED TO MAINTAIN VIGILANCE OVER PRICE , DESC-ESPECIALLY DURING CHANGEOVER PERIOD .","therefore the government needs to maintain vigour over prices, especially during the changaroo period."
DESC-REFORE X-I COMMEND THIS REPORT TO THIS HOUSE .,therefore I commend this report to this house.
X-I DESC-ALSO WANT TO CONGRATULATE X-WE ESTONIAN FRIEND ON REACH THIS DESC-IMPORTANT MILESTONE .,i also want to congratulate our estonian friends on reaching this important milestone.
X-I APPRECIATE DESC-OVERWHELMING SUPPORT FOR ESTONIUM X-POSS EURO ADOPTION GIVE BY PARLIAMENT X-POSS ECON COMMITTEE ON 2 JUNE .,i appreciate the overwhelming support for estonia's euro adoption given by parliament's econ committee on 2 june.
"COURSE , EURO ADOPTION WILL DESC-NOT BE END ROAD DESC-QUITE CONTRARY .","of course, euro adoption will not be an end road quite the contrary."
"IN PARALLEL , DESC-RE BE PRESS NEED TO STRENGN DESC-ECONOMIC GOVERNANCE IN EUROPE .","in parallel, there is a pressing need to strengthen economic governance in europe."
THAT BE WAY TO BUILD DESC-UP DESC-STRONGER AND MORE DESC-EFFECTIVE DESC-ECONOMIC AND DESC-MONETARY UNION .,that is the way to build up a stronger and more effective economic and monetary union.
X-I CAN SUPPORT X-HE IN DESC-GENERAL THRUST X-HE COMMENT AND DESC-ALSO IN CONCERN THAT X-HE RAISE .,i can support him in general the thrust of his comments and also in the concerns that he raised.
THIS LEADERSHIP GO BEYOND DESC-SIMPLY PUT X-Y HOUSE IN ORDER AND MAKE SACRIFICE THAT GO WITH THAT .,this leadership goes beyond simply putting their houses in order and making sacrifices that go with that.
X-I DESC-WELCOME ESTONIUM AND X-I THINK X-Y BE DO DESC-RIGHT THING .,i welcome estonia and I think they are doing the right thing.
EXPERIENCE FROM X-MY COUNTRY ANOR DESC-SMALL COUNTRY HAVE BE DESC-ALMOST DESC-ENTIRELY DESC-BENEFICIAL .,experience from my country another small country has been almost entirely beneficial.
THINK ABOUT WHERE DESC-SMALL COUNTRY WOULD DESC-ORWISE BE .,think about where the small countries would otherwise be.
X-WE WOULD BE DESC-TRULY LOSE .,we would be truly lost.
DESC-RE HAVE TO BE SOME WAY DEAL WITH THAT .,there has to be some way of dealing with that.
X-I BE DESC-GLAD TO SUPPORT DESC-GENERAL THRUST RAPPORTEUR X-POSS REPORT .,i am glad to support the general thrust of the rapporteur's report.
DESC-N X-IT WILL BE DESC-LITTLE DESC-LESS THAN MONTH BEFORE COUNCIL X-POSS OFFICIAL DECISION .,then it will be a little less than a month before the council's official decision.
"DESC-SPECIFICALLY , THIS MEAN DESC-SEVERAL BUDGET CUT IN 2008 AND 200 X-I BE DESC-SURE THAT ESTONIUM WILL CONTINUE X-ITS DESC-VERY DESC-APPROPRIATE , DESC-TRANSPARENT AND DESC-REASONABLE DESC-FISCAL POLICY IN FUTURE .","specifically, this means several budget cuts in 2008 and 200 I am sure that estonia will continue its very appropriate, transparent and reasonable fiscal policy in the future."
"X-WE HAVE REALIZE THAT , IN DESC-SMALL COUNTRY WITH DESC-OPEN ECONOMY , DESC-RE BE NO DESC-OR OPTION .","we have realised that, in small countries with open economies, there are no other options."
ESTONIUM X-POSS ACCESSION BE DESC-POSITIVE SIGN TO WHOLE EUROPE .,estonia's accession is a positive sign to the whole of europe.
X-I WOULD LIKE TO ASSURE X-YOU THAT ESTONIUM BE DESC-READY TO JOIN EURO AREA .,i would like to assure you that estonia is ready to join the euro area.
THANK X-YOU .,thank you.
COUNCIL WILL DESC-ALSO TAKE X-ITS DECISION WITHOUT ANY DESC-POLITICAL BENEFIT .,the council will also take its decision without any political benefit.
X-IT SHOW THAT DESC-RE BE DESC-STILL COUNTRY THAT HAVE DESC-REAL CONFIDENCE IN THIS EUROPEAN PROJECT .,it shows that there are still countries that have real confidence in this european project.
"WHAT IMPACT THAT MIGHT HAVE ON BUDGET , X-WE DO DESC-NOT KNOW .","what impact that might have on the budget, we do not know."
X-I WOULD LIKE TO ASK COMMISSION TO PROVIDE SOME CLARITY IN THIS REGARD .,i would like to ask the commission to provide some clarity in this regard.
X-WE DESC-FULLY SUPPORT X-HE CONCLUSION .,we fully support his conclusions.
X-Y ABILITY TO KEEP X-Y PUBLIC DEFICIT IN CHECK DESPITE DESC-HIGH PRESSURE UNEMPLOYMENT BE TO BE APPLAUD .,their ability to keep their public deficit in check despite the high pressure of unemployment is to be applauded.
SCICLUNA REPORT CONGRATULATE ESTONIUM ON REPLACE DESC-CURRENT AND CAPITAL ACCOUNT DEFICIT WITH DESC-CURRENT AND CAPITAL ACCOUNT SURPLUS .,the scicluna report congratulates estonia on replacing the current and capital account deficit with current andcapital account surplus.
"THIS APPEAR TO BE DESC-GOOD NEWS , BUT DESC-RE BE DANGER ON HORIZON .","this appears to be good news, but there are dangers on the horizon."
"LV MADAM PRESIDENT , WHEN X-IT COME TO FOOTBALL , X-WE FAN EXPECT THING TO HAPPEN DESC-LOGICALLY .","lv madam president, when it comes to football, we fan expect things to happen logically."
X-WE EXPECT TEAM WITH DESC-BEST DISCIPLINE AND DESC-GREATEST COMMITMENT TO WIN WORLD CUP .,we expect teams with the best discipline and the greatest commitment to winning world Cups.
THIS SORT LOGIC SHOULD DESC-ALSO BE APPLY IN EVENT EURO AREA ENLARGEMENT .,this sort of logic should also be applied in the event of euro area enlargement.
BUDGET DISCIPLINE AND IMPLEMENTATION REFORM MUST BE REWARD BY ADMISSION TO EURO AREA .,budget discipline and implementation reform must be rewarded by an adjustment to the euro area.
"X-Y PREPARE GROUND , IN FACT , FOR TODAY X-POSS EURO CRISIS .","they prepare the ground, in fact, for today's euro crisis."
INTRODUCTION EURO IN ESTONIUM WOULD BE DESC-GOOD NEWS ON THREE FRONT .,the introduction of the euro in estonia would be good news on three fronts.
THANK X-YOU FOR X-YOU ATTENTION .,thank you for your attention.
